Id,Label,Continent
Afghanistan,Afghanistan,ASIA
Albania,Albania,EUROPE
Algeria,Algeria,AFRICA
AmericanSamoa,American Samoa,OCEANIA
Andorra,Andorra,EUROPE
Angola,Angola,AFRICA
Anguilla,Anguilla,LATIN AMERICA AND THE CARIBBEAN
AntiguaandBarbuda,Antigua and Barbuda,LATIN AMERICA AND THE CARIBBEAN
Argentina,Argentina,LATIN AMERICA AND THE CARIBBEAN
Armenia,Armenia,ASIA
Aruba,Aruba,LATIN AMERICA AND THE CARIBBEAN
Australia,Australia,OCEANIA
Austria,Austria,EUROPE
Azerbaijan,Azerbaijan,ASIA
Bahamas,Bahamas,LATIN AMERICA AND THE CARIBBEAN
Bahrain,Bahrain,ASIA
Bangladesh,Bangladesh,ASIA
Barbados,Barbados,LATIN AMERICA AND THE CARIBBEAN
Belarus,Belarus,EUROPE
Belgium,Belgium,EUROPE
Belize,Belize,LATIN AMERICA AND THE CARIBBEAN
Benin,Benin,AFRICA
Bermuda,Bermuda,NORTHERN AMERICA
Bhutan,Bhutan,ASIA
Bolivia(PlurinationalStateof),Bolivia (Plurinational State of),LATIN AMERICA AND THE CARIBBEAN
BosniaandHerzegovina,Bosnia and Herzegovina,EUROPE
Botswana,Botswana,AFRICA
Brazil,Brazil,LATIN AMERICA AND THE CARIBBEAN
BritishVirginIslands,British Virgin Islands,LATIN AMERICA AND THE CARIBBEAN
BruneiDarussalam,Brunei Darussalam,ASIA
Bulgaria,Bulgaria,EUROPE
BurkinaFaso,Burkina Faso,AFRICA
Burundi,Burundi,AFRICA
Cambodia,Cambodia,ASIA
Cameroon,Cameroon,AFRICA
Canada,Canada,NORTHERN AMERICA
CapeVerde,Cape Verde,AFRICA
CaribbeanNetherlands,Caribbean Netherlands,LATIN AMERICA AND THE CARIBBEAN
CaymanIslands,Cayman Islands,LATIN AMERICA AND THE CARIBBEAN
CentralAfricanRepublic,Central African Republic,AFRICA
Chad,Chad,AFRICA
ChannelIslands,Channel Islands,EUROPE
Chile,Chile,LATIN AMERICA AND THE CARIBBEAN
China,China,ASIA
China-HongKongSpecialAdministrativeRegion,"China, Hong Kong Special Administrative Region",ASIA
China-MacaoSpecialAdministrativeRegion,"China, Macao Special Administrative Region",ASIA
Colombia,Colombia,LATIN AMERICA AND THE CARIBBEAN
Comoros,Comoros,AFRICA
Congo,Congo,AFRICA
CookIslands,Cook Islands,OCEANIA
CostaRica,Costa Rica,LATIN AMERICA AND THE CARIBBEAN
Côted'Ivoire,Côte d'Ivoire,AFRICA
Croatia,Croatia,EUROPE
Cuba,Cuba,LATIN AMERICA AND THE CARIBBEAN
Curaçao,Curaçao,LATIN AMERICA AND THE CARIBBEAN
Cyprus,Cyprus,ASIA
CzechRepublic,Czech Republic,EUROPE
DemocraticPeople'sRepublicofKorea,Democratic People's Republic of Korea,ASIA
DemocraticRepublicoftheCongo,Democratic Republic of the Congo,AFRICA
Denmark,Denmark,EUROPE
Djibouti,Djibouti,AFRICA
Dominica,Dominica,LATIN AMERICA AND THE CARIBBEAN
DominicanRepublic,Dominican Republic,LATIN AMERICA AND THE CARIBBEAN
Ecuador,Ecuador,LATIN AMERICA AND THE CARIBBEAN
Egypt,Egypt,AFRICA
ElSalvador,El Salvador,LATIN AMERICA AND THE CARIBBEAN
EquatorialGuinea,Equatorial Guinea,AFRICA
Eritrea,Eritrea,AFRICA
Estonia,Estonia,EUROPE
Ethiopia,Ethiopia,AFRICA
FaeroeIslands,Faeroe Islands,EUROPE
FalklandIslands(Malvinas),Falkland Islands (Malvinas),LATIN AMERICA AND THE CARIBBEAN
Fiji,Fiji,OCEANIA
Finland,Finland,EUROPE
France,France,EUROPE
FrenchGuiana,French Guiana,LATIN AMERICA AND THE CARIBBEAN
FrenchPolynesia,French Polynesia,OCEANIA
Gabon,Gabon,AFRICA
Gambia,Gambia,AFRICA
Georgia,Georgia,ASIA
Germany,Germany,EUROPE
Ghana,Ghana,AFRICA
Gibraltar,Gibraltar,EUROPE
Greece,Greece,EUROPE
Greenland,Greenland,NORTHERN AMERICA
Grenada,Grenada,LATIN AMERICA AND THE CARIBBEAN
Guadeloupe,Guadeloupe,LATIN AMERICA AND THE CARIBBEAN
Guam,Guam,OCEANIA
Guatemala,Guatemala,LATIN AMERICA AND THE CARIBBEAN
Guinea,Guinea,AFRICA
Guinea-Bissau,Guinea-Bissau,AFRICA
Guyana,Guyana,LATIN AMERICA AND THE CARIBBEAN
Haiti,Haiti,LATIN AMERICA AND THE CARIBBEAN
HolySee,Holy See,EUROPE
Honduras,Honduras,LATIN AMERICA AND THE CARIBBEAN
Hungary,Hungary,EUROPE
Iceland,Iceland,EUROPE
India,India,ASIA
Indonesia,Indonesia,ASIA
Iran(IslamicRepublicof),Iran (Islamic Republic of),ASIA
Iraq,Iraq,ASIA
Ireland,Ireland,EUROPE
IsleofMan,Isle of Man,EUROPE
Israel,Israel,ASIA
Italy,Italy,EUROPE
Jamaica,Jamaica,LATIN AMERICA AND THE CARIBBEAN
Japan,Japan,ASIA
Jordan,Jordan,ASIA
Kazakhstan,Kazakhstan,ASIA
Kenya,Kenya,AFRICA
Kiribati,Kiribati,OCEANIA
Kuwait,Kuwait,ASIA
Kyrgyzstan,Kyrgyzstan,ASIA
LaoPeople'sDemocraticRepublic,Lao People's Democratic Republic,ASIA
Latvia,Latvia,EUROPE
Lebanon,Lebanon,ASIA
Lesotho,Lesotho,AFRICA
Liberia,Liberia,AFRICA
Libya,Libya,AFRICA
Liechtenstein,Liechtenstein,EUROPE
Lithuania,Lithuania,EUROPE
Luxembourg,Luxembourg,EUROPE
Madagascar,Madagascar,AFRICA
Malawi,Malawi,AFRICA
Malaysia,Malaysia,ASIA
Maldives,Maldives,ASIA
Mali,Mali,AFRICA
Malta,Malta,EUROPE
MarshallIslands,Marshall Islands,OCEANIA
Martinique,Martinique,LATIN AMERICA AND THE CARIBBEAN
Mauritania,Mauritania,AFRICA
Mauritius,Mauritius,AFRICA
Mayotte,Mayotte,AFRICA
Mexico,Mexico,LATIN AMERICA AND THE CARIBBEAN
Micronesia(FederatedStatesof),Micronesia (Federated States of),OCEANIA
Monaco,Monaco,EUROPE
Mongolia,Mongolia,ASIA
Montenegro,Montenegro,EUROPE
Montserrat,Montserrat,LATIN AMERICA AND THE CARIBBEAN
Morocco,Morocco,AFRICA
Mozambique,Mozambique,AFRICA
Myanmar,Myanmar,ASIA
Namibia,Namibia,AFRICA
Nauru,Nauru,OCEANIA
Nepal,Nepal,ASIA
Netherlands,Netherlands,EUROPE
NewCaledonia,New Caledonia,OCEANIA
NewZealand,New Zealand,OCEANIA
Nicaragua,Nicaragua,LATIN AMERICA AND THE CARIBBEAN
Niger,Niger,AFRICA
Nigeria,Nigeria,AFRICA
Niue,Niue,OCEANIA
NorthernMarianaIslands,Northern Mariana Islands,OCEANIA
Norway,Norway,EUROPE
Oman,Oman,ASIA
Pakistan,Pakistan,ASIA
Palau,Palau,OCEANIA
Panama,Panama,LATIN AMERICA AND THE CARIBBEAN
PapuaNewGuinea,Papua New Guinea,OCEANIA
Paraguay,Paraguay,LATIN AMERICA AND THE CARIBBEAN
Peru,Peru,LATIN AMERICA AND THE CARIBBEAN
Philippines,Philippines,ASIA
Poland,Poland,EUROPE
Portugal,Portugal,EUROPE
PuertoRico,Puerto Rico,LATIN AMERICA AND THE CARIBBEAN
Qatar,Qatar,ASIA
RepublicofKorea,Republic of Korea,ASIA
RepublicofMoldova,Republic of Moldova,EUROPE
Réunion,Réunion,AFRICA
Romania,Romania,EUROPE
RussianFederation,Russian Federation,EUROPE
Rwanda,Rwanda,AFRICA
SaintHelena,Saint Helena,AFRICA
SaintKittsandNevis,Saint Kitts and Nevis,LATIN AMERICA AND THE CARIBBEAN
SaintLucia,Saint Lucia,LATIN AMERICA AND THE CARIBBEAN
SaintPierreandMiquelon,Saint Pierre and Miquelon,NORTHERN AMERICA
SaintVincentandtheGrenadines,Saint Vincent and the Grenadines,LATIN AMERICA AND THE CARIBBEAN
Samoa,Samoa,OCEANIA
SanMarino,San Marino,EUROPE
SaoTomeandPrincipe,Sao Tome and Principe,AFRICA
SaudiArabia,Saudi Arabia,ASIA
Senegal,Senegal,AFRICA
Serbia,Serbia,EUROPE
Seychelles,Seychelles,AFRICA
SierraLeone,Sierra Leone,AFRICA
Singapore,Singapore,ASIA
SintMaarten(Dutchpart),Sint Maarten (Dutch part),LATIN AMERICA AND THE CARIBBEAN
Slovakia,Slovakia,EUROPE
Slovenia,Slovenia,EUROPE
SolomonIslands,Solomon Islands,OCEANIA
Somalia,Somalia,AFRICA
SouthAfrica,South Africa,AFRICA
SouthSudan,South Sudan,AFRICA
Spain,Spain,EUROPE
SriLanka,Sri Lanka,ASIA
StateofPalestine,State of Palestine,ASIA
Sudan,Sudan,AFRICA
Suriname,Suriname,LATIN AMERICA AND THE CARIBBEAN
Swaziland,Swaziland,AFRICA
Sweden,Sweden,EUROPE
Switzerland,Switzerland,EUROPE
SyrianArabRepublic,Syrian Arab Republic,ASIA
Tajikistan,Tajikistan,ASIA
Thailand,Thailand,ASIA
TheformerYugoslavRepublicofMacedonia,The former Yugoslav Republic of Macedonia,EUROPE
Timor-Leste,Timor-Leste,ASIA
Togo,Togo,AFRICA
Tokelau,Tokelau,OCEANIA
Tonga,Tonga,OCEANIA
TrinidadandTobago,Trinidad and Tobago,LATIN AMERICA AND THE CARIBBEAN
Tunisia,Tunisia,AFRICA
Turkey,Turkey,ASIA
Turkmenistan,Turkmenistan,ASIA
TurksandCaicosIslands,Turks and Caicos Islands,LATIN AMERICA AND THE CARIBBEAN
Tuvalu,Tuvalu,OCEANIA
Uganda,Uganda,AFRICA
Ukraine,Ukraine,EUROPE
UnitedArabEmirates,United Arab Emirates,ASIA
UnitedKingdomofGreatBritainandNorthernIreland,United Kingdom of Great Britain and Northern Ireland,EUROPE
UnitedRepublicofTanzania,United Republic of Tanzania,AFRICA
UnitedStatesofAmerica,United States of America,NORTHERN AMERICA
UnitedStatesVirginIslands,United States Virgin Islands,LATIN AMERICA AND THE CARIBBEAN
Uruguay,Uruguay,LATIN AMERICA AND THE CARIBBEAN
Uzbekistan,Uzbekistan,ASIA
Vanuatu,Vanuatu,OCEANIA
Venezuela(BolivarianRepublicof),Venezuela (Bolivarian Republic of),LATIN AMERICA AND THE CARIBBEAN
VietNam,Viet Nam,ASIA
WallisandFutunaIslands,Wallis and Futuna Islands,OCEANIA
WesternSahara,Western Sahara,AFRICA
Yemen,Yemen,ASIA
Zambia,Zambia,AFRICA
Zimbabwe,Zimbabwe,AFRICA
